67.54,67.54,19.40,19.10,73.50
65.51,65.51,16.32,23.04,71.03
66.68,66.68,13.61,22.44,70.77
68.90,68.90,18.31,27.94,72.33
68.90,68.90,20.19,25.55,70.31
69.33,69.33,22.52,28.66,67.93
70.01,70.01,17.30,21.70,66.57
65.98,65.98,20.16,19.05,64.65
65.04,65.04,17.29,20.87,71.20
62.62,62.62,18.85,25.58,72.05
64.53,64.53,18.01,25.56,74.80
66.63,66.63,21.78,22.61,75.59
69.83,69.83,21.09,24.66,76.05
68.07,68.07,21.57,22.68,74.60
65.80,65.80,23.93,21.97,75.79
64.59,64.59,22.59,18.78,71.49
65.30,65.30,23.68,17.01,71.43
64.99,64.99,27.61,24.83,71.77
65.42,65.42,22.40,17.33,66.36
64.83,64.83,17.36,25.45,68.62
64.68,64.68,23.14,22.97,76.09
67.51,67.51,21.45,23.13,78.72
66.68,66.68,23.18,19.64,82.70
70.86,70.86,18.30,20.49,83.27
71.15,71.15,22.48,20.20,83.81
70.01,70.01,23.52,16.34,85.47
68.07,68.07,25.72,23.19,85.65
68.15,68.15,26.99,30.30,85.13
68.45,68.45,24.37,26.52,84.57
68.59,68.59,27.72,17.79,84.37
67.52,67.52,27.57,19.44,83.00
65.73,65.73,21.61,19.75,82.54
68.49,68.49,16.14,20.63,81.40
66.95,66.95,22.58,28.38,81.18
64.54,64.54,21.51,26.26,81.21
67.87,67.87,21.01,24.07,80.39
69.63,69.63,23.87,25.24,79.54
68.58,68.58,24.10,19.12,79.38
69.81,69.81,30.09,16.52,79.88
70.01,70.01,34.80,18.08,78.79
66.75,66.75,35.30,7.89,78.43
68.60,68.60,30.98,1.24,75.38
66.51,66.51,22.94,3.80,78.28
67.98,67.98,19.97,2.31,79.06
66.56,66.56,22.20,8.75,76.96
66.72,66.72,24.31,10.67,74.53
65.11,65.11,20.12,10.80,76.56
68.33,68.33,29.77,10.80,72.80
68.93,68.93,26.82,10.49,76.73
68.76,68.76,25.29,15.94,71.55
72.51,72.51,27.65,11.86,75.65
72.71,72.71,20.67,20.15,72.33
73.19,73.19,28.75,21.96,72.46
73.68,73.68,22.95,19.70,70.57
74.45,74.45,22.63,23.38,72.95
74.14,74.14,23.11,24.34,70.36
74.20,74.20,23.47,22.21,75.99
73.68,73.68,24.83,18.73,69.90
72.58,72.58,25.07,20.74,72.87
73.53,73.53,23.90,20.34,70.06
75.65,75.65,21.76,24.44,74.71
74.99,74.99,19.30,21.14,71.70
74.97,74.97,22.84,23.71,75.22
72.38,72.38,17.09,16.85,71.11
71.28,71.28,21.07,25.99,73.83
71.60,71.60,21.64,25.91,73.41
70.24,70.24,21.29,26.62,71.80
71.57,71.57,21.53,29.24,74.89
72.13,72.13,22.23,28.62,70.02
74.56,74.56,21.36,29.70,77.24
70.71,70.71,19.81,27.72,70.58
73.22,73.22,20.30,29.71,74.95
74.67,74.67,19.01,21.84,70.76
71.25,71.25,17.05,22.65,70.15
72.37,72.37,17.35,19.46,72.34
72.70,72.70,17.08,25.37,69.98
75.41,75.41,22.43,28.24,70.33
73.83,73.83,21.27,29.62,71.04
74.44,74.44,19.08,27.86,69.95
72.43,72.43,19.85,25.62,73.01
70.11,70.11,21.15,26.13,72.86
71.17,71.17,28.18,25.29,74.75
72.70,72.70,21.08,27.10,77.45
72.44,72.44,14.80,24.73,76.29
73.57,73.57,18.04,23.01,76.70
73.21,73.21,15.18,22.27,77.46
73.03,73.03,17.41,26.10,76.49
71.44,71.44,19.48,25.12,78.26
71.00,71.00,20.65,23.12,76.10
73.28,73.28,17.35,29.19,75.62
72.14,72.14,15.36,28.61,76.13
72.11,72.11,16.55,25.64,73.23
71.55,71.55,15.64,22.02,73.04
67.82,67.82,14.04,23.90,73.56
68.62,68.62,14.89,21.21,82.35
71.91,71.91,19.03,22.88,82.27
70.97,70.97,18.42,23.48,84.02
71.69,71.69,15.40,16.33,83.48
70.80,70.80,14.60,17.72,80.55
72.88,72.88,17.31,18.31,81.97
72.86,72.86,19.03,26.99,82.06
73.09,73.09,19.16,28.17,80.80
72.09,72.09,20.28,28.33,82.46
70.32,70.32,20.63,22.26,79.36
67.64,67.64,21.41,25.09,81.49
67.43,67.43,22.68,17.49,80.69
66.37,66.37,19.97,15.49,81.27
65.81,65.81,18.07,25.17,83.09
66.79,66.79,20.18,23.81,81.74
70.84,70.84,21.63,23.36,84.16
72.64,72.64,22.08,24.93,81.59
70.55,70.55,22.37,25.11,82.46
70.51,70.51,25.48,25.51,82.55
71.46,71.46,24.36,28.02,81.29
72.39,72.39,19.76,16.38,81.78
71.69,71.69,24.52,26.38,81.25
72.65,72.65,22.87,26.91,79.72
71.69,71.69,28.16,27.44,77.94
71.52,71.52,29.10,26.51,79.34
70.74,70.74,26.72,23.89,77.74
71.07,71.07,26.77,27.72,78.61
73.60,73.60,21.22,26.55,78.37
72.67,72.67,18.67,31.04,77.72
70.66,70.66,21.14,34.07,79.24
69.50,69.50,19.61,28.72,77.99
70.42,70.42,20.81,26.17,82.82
70.92,70.92,25.25,28.44,78.34
67.58,67.58,24.35,26.71,79.50
64.83,64.83,27.55,23.66,74.63
68.43,68.43,28.32,23.45,76.97
71.41,71.41,29.93,18.86,77.58
72.48,72.48,30.91,10.36,80.70
68.21,68.21,23.38,3.00,76.05
67.70,67.70,28.42,4.62,79.32
64.05,64.05,29.02,8.82,75.30
64.78,64.78,29.53,11.17,75.19
66.99,66.99,28.29,11.58,74.85
68.80,68.80,19.35,16.06,73.73
66.64,66.64,25.21,21.09,76.31
68.43,68.43,17.89,19.27,73.27
70.21,70.21,18.58,19.64,73.69
69.94,69.94,19.08,15.30,72.55
69.79,69.79,18.00,22.81,72.76
71.30,71.30,23.91,14.37,71.91
69.97,69.97,38.39,15.46,70.91
68.53,68.53,43.90,20.01,79.23
72.82,72.82,42.47,16.33,79.56
71.67,71.67,34.34,21.53,75.28
69.76,69.76,45.58,31.32,76.55
68.07,68.07,42.84,39.35,78.08
68.33,68.33,38.60,34.15,77.14
69.66,69.66,35.47,31.46,75.14
71.82,71.82,28.98,24.82,73.90
74.59,74.59,20.90,15.37,74.15
76.14,76.14,27.58,19.04,75.09
76.95,76.95,22.69,26.76,73.13
78.11,78.11,18.67,24.10,73.14
78.86,78.86,18.74,20.32,74.90
79.13,79.13,19.75,23.37,70.05
79.48,79.48,18.91,22.13,74.44
79.47,79.47,16.72,16.68,71.00
77.49,77.49,22.19,20.50,70.16
75.76,75.76,24.74,22.38,75.85
73.79,73.79,26.71,20.74,72.53
72.70,72.70,27.97,19.95,74.40
74.48,74.48,28.25,26.55,78.81
74.34,74.34,23.54,26.44,77.11
72.47,72.47,23.15,19.54,74.78
68.76,68.76,23.24,22.74,80.02
69.85,69.85,27.71,21.91,72.28
74.47,74.47,25.99,26.08,77.77
71.57,71.57,22.79,21.91,76.34
64.74,64.74,24.00,18.63,74.66
67.18,67.18,26.73,20.18,78.64
63.96,63.96,26.78,15.05,76.82
63.03,63.03,25.46,15.14,76.52
59.43,59.43,23.18,11.14,77.49
60.03,60.03,17.33,12.14,76.37
67.43,67.43,17.49,17.79,79.70
62.79,62.79,25.44,20.23,79.09
62.95,62.95,27.17,21.36,74.02
60.55,60.55,28.18,20.37,80.27
65.53,65.53,34.66,18.93,74.48
63.80,63.80,40.37,14.76,82.90
60.76,60.76,40.69,12.46,79.70
62.69,62.69,39.55,4.62,80.93
63.56,63.56,40.54,-0.00,79.89
67.05,67.05,40.17,-0.00,74.00
66.41,66.41,37.42,0.64,81.73
66.89,66.89,24.27,3.96,76.81
67.35,67.35,16.91,6.26,79.04
69.86,69.86,24.38,9.12,80.66
68.45,68.45,20.12,8.12,76.71
65.87,65.87,28.61,6.91,80.44
67.93,67.93,32.22,6.52,77.99
70.06,70.06,29.91,8.27,79.68
71.39,71.39,28.76,9.47,83.36
71.66,71.66,35.19,9.14,78.27
70.84,70.84,37.20,8.13,79.42
67.89,67.89,35.85,5.18,82.51
65.34,65.34,35.66,12.42,79.99
64.64,64.64,35.68,11.71,79.82
67.04,67.04,27.23,10.20,81.78
67.33,67.33,22.51,9.48,79.24
64.00,64.00,30.62,9.78,79.13
64.85,64.85,32.06,14.25,79.34
63.54,63.54,29.61,6.14,76.06
60.96,60.96,31.66,12.56,77.18
63.35,63.35,34.90,7.58,74.10
63.65,63.65,34.66,9.87,75.95
60.73,60.73,33.09,10.77,78.58
61.83,61.83,30.21,11.65,75.58
63.17,63.17,28.57,11.29,76.21
63.53,63.53,32.85,15.11,76.20
65.07,65.07,29.35,14.54,77.99
65.50,65.50,25.71,18.70,78.29
65.75,65.75,32.84,19.43,78.01
65.79,65.79,30.27,16.38,77.98
66.09,66.09,33.68,17.37,76.86
67.02,67.02,39.11,16.72,75.99
65.21,65.21,39.67,16.35,81.36
66.47,66.47,35.81,16.13,79.18
67.55,67.55,39.35,11.05,79.11
65.44,65.44,35.32,9.61,80.58
65.33,65.33,19.99,11.88,77.45
63.83,63.83,24.95,8.41,82.87
63.60,63.60,23.40,10.09,78.10
66.36,66.36,20.53,15.71,80.18
66.90,66.90,27.95,17.67,82.43
